stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13,0.85,0,0.28,0,0,0,1.69,0.56,0,0,0,0,0,0,0,0,0
21Day,0,0,0.37,6.66,0.37,0.74,0,0,0,1.11,0.37,0.74,9.99,0,2.59,0.37,2.96,0,0.37,0,3.33,1.11,0.37,0,0.37,0.37,0.37,0.37,0,0,0.37
3Month,0.1,0.21,0.31,4.47,0,0,0.42,0.62,0,15.29,0.42,0,25.8,0.31,1.56,0.21,2.08,0.73,0.52,0.62,0.21,0.1,0.21,0.1,0.42,1.77,0,0,0.42,1.46,0
22Month,0.14,0,0,0.14,0,0,0,0.14,0.27,8.88,0.14,0,13.53,0.14,0,0,0.96,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0
