stage,Enterocyte,Epithelial_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Radial_glia
24hpf,0,1,0,0,0,0,0,0,0,1,0,0
72hpf,0,0.28,0,0,0,0,0.28,0.28,3.66,4.23,0,1.13
21Day,0,0,0,0,0.37,0,0,0,1.48,0.37,0,0
3Month,0,0,0,0,0,0.1,0,0,0,0,0.1,0
22Month,0.14,0.14,0.14,0.14,0,0,0,0,0,0,0,0
