stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0.56,10.99,0,0.56,0,1.13,0,0,0.28,0,0.56,0.85,0.28,4.79,0,0,0,2.82,0.85,0,0,0.28,0,0,0,0,0,0,0,0.28
21Day,0.74,0,0,1.11,0,4.81,0,0.37,0,1.85,0,3.33,2.22,0,0.37,0.74,0.37,2.22,0,0,0,0.74,0,0,0,0,0,0,0,0.74,0,0,0,1.85
3Month,0.1,0.1,0.1,2.39,0,0,0.52,0.31,0.21,38.9,3.33,33.18,0.21,0.83,0.1,0,1.14,0.83,0,0.31,0.1,0.21,0,0.1,0.1,0,0.21,0.73,0.21,0,0.1,0.1,0.31,3.85
22Month,0.14,0.27,0.14,0.96,0,0,0.41,0.14,0,24.6,11.34,21.86,0.68,1.23,0,0,1.09,0.27,0.14,0,0,0,0,0.14,0,0,0,0.14,0,0,0,0,0,1.5
