stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,18,0,0,0,1,0,0,0,0,0,0
72hpf,0.28,0,0.28,0.85,0,0.28,0,0,0,0,0,0.28,0,0,0,0,1.13,0,0,0,0,2.25,0,0,0,0.28,0,0,0,0,0,0
21Day,0.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0.37,0,0,0,0.37,0.37,0,0,0,0,0,0,0.37,0,0,0
3Month,0,0.21,3.02,0,0.1,0.1,0.42,0.42,0,3.02,0.42,0,0.83,0.52,0.31,0.83,0.62,0.1,0.31,0.21,0.42,0.1,0.21,0.21,0,0.1,0.62,6.87,0.21,0.21,124.51,0.83
22Month,0,0,0.14,0,0.14,0,0,0.14,0.14,0.82,0,0,0.14,0,0,0.14,0,0,0,0,0,0,0,0,0.55,0,0,2.32,0,0,0.27,0
