stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0
72hpf,0,0.28,0.28,0,0.28,0,0,0,0,0.28,0.56,0.28,0,0,0,0.56,3.38,0.56,0,0.56,0,0,0,0,0
21Day,0,0,0,0,0.37,0,0,0,0,0,0.37,0,0,0,0,0,1.11,0,0.37,0.37,0,0,0,0,0
3Month,0.1,0,1.87,0.21,3.02,0.1,1.98,0.62,0.73,0.52,0.31,0.42,0,0.1,0,0.21,0.21,0,0.21,0,0.1,2.18,0.1,15.81,0.31
22Month,0,0.14,0.68,0,1.37,0,4.92,0.14,0.27,0,0,0,0.14,0,0.41,0.14,0,0.14,0.27,0,0,0.14,0,0.27,0.14
