stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
72hpf,11.27,0.28,0,0.28,0,0,0,0,0,0,0.28,0.56,0,1.69,0,0.28,0,0,1.41,0.56,0,0,0.56,0,0,0,0,0,0
21Day,8.14,0.37,0.74,0.37,0.37,0,0,0.37,0,0,0,0.37,0.37,2.96,0,0,0,0,1.11,0,0,0,1.11,0.37,0,0,0,0,0
3Month,2.18,0.42,0.73,0,0,0.52,0,1.98,0,0.62,0.1,0.1,0.21,0.62,0.1,0.1,0.94,0.1,0.1,0,0.31,0,0.1,0.1,0.52,0.21,0.31,0.1,0
22Month,1.23,0.41,0.14,0,0,0.55,0.14,6.01,0.14,0.14,0,0,0.82,1.23,0,0,0.14,0,0,0,0.41,0.14,0,0,0,0.14,0,0,0.14
