stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.41,0,0,0,0,0,0
21Day,0,0,0,0,0.37,0,0,0,0,0,0.37,0,0,0,0,0.37,0,0,3.33,0,0,0.37,0,0,0
3Month,0,0,0,0,0,0,0,0,0,0.21,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0.1
22Month,0.14,1.5,4.24,0.14,0,0.14,0.55,0.14,0.14,1.64,0,4.51,0.41,0.82,0.27,0,0.27,0.14,0,0.14,0.14,0,0.14,0.41,0
