stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0
72hpf,12.97,0.28,0,0.28,0,0,0,0,0,0,0,0,0,0,0.28,0,1.13,0,0,0.28,0,3.38,1.97,0,0,0,0,0,0.56,0,0,0
21Day,16.65,0,0,1.11,0.37,0,0,0,0,0,0,0.37,0,0.74,0.37,0.74,0.37,0,0,0.37,0,2.59,0,0,0.74,1.85,0.37,0,0.37,0.74,0,0
3Month,3.95,0.1,0.21,2.29,0,0.1,0.21,0.1,0,2.08,0.73,0,0.21,6.76,0.62,0.83,0.83,0.31,0.1,0.21,0.21,0.1,0.1,0.1,0,0,0,3.22,0,0,0.1,0.1
22Month,3.28,0.27,1.09,0.27,0,0,0.27,0.68,0.55,7.24,0.14,0,0.41,1.23,0,0.68,1.37,0,0.27,0.27,0.14,0.41,0,0,0.14,0,0,1.23,0,0,0,0
