stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0,0.28,0,0,0.28,0,0,0,0,0,0,0
21Day,0,0,0.74,0,0.37,0,0,0,0,0,0,0,0,0,0.37,0,0.37,0,0,0,0,0.37,0,0,0.37,0,0,0,0,0,0,0
3Month,1.14,0.31,14.77,0.31,0,0.52,0.1,1.98,6.87,5.41,4.16,0.83,9.15,0.73,4.37,3.95,2.6,0.42,1.66,0.31,0.52,0,0.94,0.1,0.1,0.94,6.35,0.42,0.1,1.35,1.14,9.05
22Month,0.41,0,0.55,0,0,0,0.14,0,1.37,1.91,0.82,0.96,0.14,0.14,0.41,1.23,1.64,0.27,0.27,0,0,0,0.14,0.27,0.14,0,0,0,0,0,0,0.41
