stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,3,0,2,0,0,1,14,0,0,0,0,1
72hpf,0.56,0,0,0.28,0,0,0,0,0,0,0,0,0.85,0.28,1.13,0.28,0,5.64,2.25,0.85,0,0,0.28,0
21Day,0,0.37,1.11,0,1.11,0,0,0,0,0.37,0,0.37,0.37,0.37,1.85,0,0.37,5.18,0.37,0,0.37,0,0,0
3Month,0,0,0,0,0,0,0,0.31,0.1,0,0.21,0,0,0,0,0,0.1,0,0,0,0,0,0.1,0
22Month,0,0,0.14,0,0,0.14,0.14,1.09,0,0,0.14,0,0,0.27,0,0,0,0,0,0,0,0.14,0,0
