stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Primordial_germ_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,2,0,0,0,0,7,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.56,0,0,0,0,0,0,0,0,0.28,3.66,0,0,0,0,0,0,0.28,0,0,0,0.28,0,0.28,0,0,0,0
21Day,0,0,3.33,0,0,0,0,0,0,0,0,0,2.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0.21,0,15.5,0.1,0,4.89,0.83,0,1.56,6.03,1.04,0.62,7.7,1.35,0.31,0.1,0.1,3.95,0.21,0.21,0.42,0,0,0.1,1.25,0,0.21,0.42,0.94,0.73
22Month,1.5,0.55,5.88,0,0.14,1.78,0.55,0,2.46,1.5,0.82,0.27,2.05,0.41,0.27,0.14,0,2.6,0.14,0,0.14,0.14,0.14,0.14,0.27,0,0,0,0,0.27
