stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell
24hpf,1,1,0,13,1,1,0,0,2,0,0,1,8,2,10,0,0,4,58,0,0,0,3,0,0,0,0
72hpf,0.56,0,0,0.85,0,0,0,0,0,0,0.28,0,13.25,0,0.28,0,0,0.56,0,0,0,0,0,0.28,0.28,0,0.28
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0
22Month,0,0.55,0.27,0.68,0,0,0.27,0.14,0,4.51,0.27,0.14,0,0.27,0.68,0.27,0.27,0,0,0.14,0.14,12.57,0,0,0,0.14,0
