stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,2,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
72hpf,0.56,0,0.56,0.28,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,1.13,0,0,0,0.28,0,0,0,0,0
21Day,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0.37,0,0.37,0,0.37,1.85,0.74,0,0,0,0,0,0,0,0
3Month,0,0.62,5.3,0,0.21,0.42,0.1,0.1,1.04,0.1,0.1,2.39,0.1,3.54,0.21,0.21,0.1,0.21,0.21,0,0,0,0,0.1,0.52,0.1,0.21,0.21
22Month,0,0.14,1.09,0,0,0.14,0.27,0.41,1.91,0.14,0,0.55,0,0.14,0.41,0,0,0,0,0,0.14,0.14,0,0,0,0,0,0.14
