stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69,0.28,0,0.28,0,0,0
21Day,0,0.74,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,1.48,0.37,0,0,0,0,0
3Month,0.1,2.08,0.21,0,0,0,0.73,0.1,0.52,0.1,0.1,0.21,0.1,0,11.75,0.1,0,0,0.52,0,1.98,0.31,0.21
22Month,0,0.55,0.14,0.27,0.27,0,12.16,0.14,0.14,0,0,0.27,0.41,0.27,2.05,0,0.14,0,0.55,0,3.28,0,0
