stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0
72hpf,0,0,0.56,0.28,0,0,0,0,0,0,0.85,0,0.28,0,0,0,0.56,0.28,0,0,0,0,0,0,0,0
21Day,1.11,0.37,3.33,2.22,0.37,0,0,0,0,0.37,0.37,0.74,3.33,0.37,0.74,0,1.85,1.11,0.37,0,0.37,0.37,1.11,0.74,0,0
3Month,0,0,0.21,0,0,0.21,0.31,0.1,0.31,0,0.1,0.21,0,0,0,0.1,0.1,0,0.1,0,0,0.31,0,0,0,0.1
22Month,0,0.27,0.27,0,0,0.41,1.5,0,0.27,0,0,0.27,0,0.14,0,0,0,0,0,0.14,0,0.14,0,0,0.14,0
