stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,2,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,1,14,0,0,0,1,0,0,0,0,0,0,0,0
72hpf,0.28,0.56,0,0.85,1.41,0,0,0,0,0,0,0,0,0,0,0,0.28,0.85,0.28,2.25,0,0,0,5.64,2.25,0.28,0,0,1.69,0,0,0.28,0,0.28,0,0,0
21Day,1.11,0,0,1.48,4.07,0,0.37,0,0,0,0,0,0,0.74,0,0,0,0.37,0,3.7,0,0,0,5.92,1.85,0,0,0,1.11,0.37,0.37,0.74,0.37,0,0,0,0
3Month,0,0.1,0,1.35,0,0,0,0.1,0.21,0.73,0,0,1.04,0.83,0.1,1.98,0.73,0.62,0.21,1.87,0.21,0.21,0.31,0.31,0,0.21,0.21,0,0,0.1,10.3,0.1,0,0.1,0.21,1.14,0.52
22Month,0,0.55,0.14,0.96,0,0.14,0.14,0,0,0.96,0.27,0,8.88,0.41,0,1.37,0,0.55,0.82,1.09,0,0.14,0,0.41,0,0,0.27,0.55,0,0,2.32,0.14,0,0,0,0,0.27
