stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,7,0,0,0,0,0,0,0,0,0,1,0,4,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
72hpf,14.66,0,0,0,0.28,0,0,0,0,0,0,0.28,0,0.56,0,1.41,0,5.36,0.85,0,0,0.56,0,0.28,0.56,0,0,0,0
21Day,2.22,0,0.74,0.37,0,0,0.37,0.37,0,0,0,0.37,0.74,1.48,0,0,0,4.07,0.37,0,1.85,0,0.37,0.37,0,0.37,0,0,0
3Month,0.52,0.52,1.46,0,0,0.1,1.04,5.93,2.18,0.62,0.21,0.42,3.02,0.73,0.1,0,2.39,1.46,0,0.62,4.89,0,0,12.9,0.1,0,0.1,8.11,0.52
22Month,0,0,0.14,0.14,0,0,1.09,9.43,0.27,0.27,0,0.27,1.5,0.41,0,0.41,0.27,0.27,0,0.68,12.57,0,0,8.2,0.14,0,0,0.14,0.14
