stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,22,3,1,11,0,2,0,0,0,0,0,0,2,0,0,0,0,3,8,5,101,0,0,0,114,2233,0,0,3,0,0,0,0,0,3,0,0,0
72hpf,6.2,0.56,0,1.41,0.56,3.38,0,0,0,0,0,0,0.28,0,0,0,0,0.56,5.64,0.56,54.11,0,0.56,0.28,68.49,257.61,0,0.28,20.86,0.28,0,64.26,0.28,0,1.41,0,0,0
21Day,8.51,0,0,1.85,0,3.7,0,0.37,0,0,0.37,0,0,0,0,1.11,2.22,0,1.48,0.74,37,0,0,0,12.58,112.85,0,0.37,2.96,3.7,0.37,21.83,0,0.74,0.37,0,0,0.74
3Month,0,0.21,0,0.62,0,0,0.31,0,0,0.31,0.31,0,0,2.6,0.52,0,0.52,0.1,0.31,0.31,8.43,1.04,0,0.1,0.42,1.04,0.1,0.21,0,0.31,3.74,0.21,0,0,0,0.21,5.72,0.31
22Month,0.14,0,0,0.55,0,0,0.14,0,0.14,0.27,0.27,0.41,0,12.57,0.68,0.14,0.82,0,0,0.27,10.39,1.09,0.27,0.14,2.6,0.68,0,0.14,0,0,6.29,0.55,0.14,0,0.55,0,0,0.14
