stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,59,3,4,0,0,0,0,0,0,0,0,1,23,0,0,5,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0
72hpf,22.27,0,0.28,0.28,0,0,0,0,0.28,0,0,0.28,7.89,0,0.56,0.85,0,0,0,0.56,1.97,1.97,0,0,0.56,0,0,0.28,0.28,0,0,0
21Day,28.86,0,2.59,0.37,0,0,0,0,0.37,0,0.37,0,12.95,1.48,0,1.48,0,0,0,0.37,0.37,0,0,0.37,0,0,0,0,0,0,0,0
3Month,0.42,0.42,2.81,0,0,0.42,0.52,0,3.02,0.52,0,1.14,18.83,0.73,0.83,1.14,0.31,0,0.42,0.73,0.42,0,0.21,0,0,0.31,0.31,0,0,0.1,0.31,0.52
22Month,0,0.14,1.23,0,0.14,0.27,0.55,0.14,8.75,0,0.14,1.09,2.19,0.14,0.55,0.55,0,0.27,0.14,0.14,0.14,0,0,0,0,0,0.41,0,0,0,0,0.27
