stage,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Spermatocyte
72hpf,0,0,0,0,0.28,0.56,0
21Day,0,0,0,0.37,0,0,0
3Month,0.1,0.1,0.1,0,0,0,0.1
