stage,Hepatocyte,Neural_cell,Neural_progenitor_cell,Pancreatic_cell
24hpf,0,0,3,0
72hpf,0,1.41,0.28,0
21Day,0,1.11,0,0.37
22Month,0.41,0,0,0
