stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,4,0,0,0,0,0,0,1,0,0,1,0,0,20,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0.28,0,0,0.28,0.28,3.66,1.69,0,0.28,0,0,0.85,0,0,0,0
21Day,1.11,0,0.37,0.37,0,0,0,0.37,0.37,0.37,0,0.74,2.22,0,2.59,0,0,0.37,0.37,0,0.37,0,0,0,0
3Month,0,0,1.14,0,0.1,1.35,0.21,0,0.52,0.1,0.42,0.42,0.1,0,0.21,0.1,0,0,0.31,1.14,0,0.1,0.1,4.26,0.21
22Month,0,0.27,0.14,0,0,1.23,0,0,0,0,0,0.14,0.14,0,0,0,0.14,0,0,0,0,0,0.14,0,0
