stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_progenitor_cell,Primordial_germ_cell,T_cell
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0.28,0.28,0,0
21Day,0,0,1.48,0,1.48,0,0,0,0,0,0,0,0,0.37,0.37,0,0,0.37
3Month,0.1,0,1.87,0,0,0,0.1,0.1,0,0.1,0.62,1.04,0,0.52,0,0,0.1,0.31
22Month,0.14,0.14,2.46,0,0,0.14,0,0,0.68,0,0.96,0.14,0.14,1.37,0,0,0,0.14
