stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0
72hpf,1.69,0.56,0,0.28,0,1.13,0,0,0,0.28,0,0,0,0,0.28,1.69,0,9.3,0,1.41,0.28,131.9,7.33,0.28,3.1,1.41,0,0,1.97,0,0,0
21Day,1.85,0,0,1.48,0,1.11,0,0.37,0,0,0.37,0,0,0.74,0.37,0.74,0.74,5.92,0,0,0.37,58.46,1.11,0,0.37,4.81,0.37,0.37,1.11,1.11,0,0
3Month,0.1,0,0,0.62,0.1,0,0.21,0,0.1,0.31,2.7,0.52,0,0.52,0,0.94,0.42,0.94,0.21,0,0,0.31,0.42,0.1,0,0,0,0.21,0,0,0.21,0.21
22Month,0,0.14,0.14,1.23,0.14,0,0,0,0.14,0.14,6.97,0,0.14,1.09,0,0.68,0.41,1.09,0,0,0,0.41,0.41,0.96,0.41,0,0,0.27,0.14,0,0.14,0
