stage,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,T_cell
24hpf,0,0,0,0,0,0,0,0,0,1,0,0,0,0
72hpf,0,0,0,0,0,0,0.28,0,0.28,0.56,0,0,0.28,0
21Day,0.74,0.74,0,1.11,0,0,0,0.37,0,0,0.37,0,0,3.33
3Month,0,0,0.21,0,0.1,0,0,0,0.1,0,0.1,0,0,4.47
22Month,0,0.14,0.82,0.14,0,0.14,0,0.14,0.14,0,0,0.14,0,0.68
