stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0
21Day,5.55,0.74,0.37,27.38,1.85,8.14,0,1.48,0,0.37,5.55,0.74,2.96,2.59,1.48,15.54,1.48,17.39,48.1,18.87,7.03,0.74,7.4,5.92,1.11,0.37,1.48,0.37,0,2.59
3Month,0,0,0,0.73,0,0,0.1,0,0.21,0.1,1.25,0.31,0.21,0.21,0.21,0,0.42,0.21,4.58,0,0,0.1,0,0,0,0,0,0,0.1,0.31
22Month,0,0,0,0,0,0,0,0,0,0.27,1.5,0.14,0.14,0,0,0,0.27,0,0.55,0,0,0,0,0,0,0,0,0,0,0.14
