stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,13,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0.56,0.28,0,0.56,0.56,0.85,0,0,0,0,0,0,0,0,0.28,2.25,0,3.1,0,0,0,0,18.04,6.2,0.28,0.56,3.66,0,0,0,0.56,0.28,0.28,0,0,0
21Day,0.74,1.48,0,8.14,0,0.74,1.11,0.37,0.74,0,0.37,0,2.22,0.37,0,3.7,1.11,6.66,0,0,0,0,7.4,3.7,0.37,0,2.59,0.37,0,0,0,0.37,0.37,0,0,0.37
3Month,0,1.46,0.52,17.89,0.1,0,0.42,2.5,3.95,0,18.72,3.33,0.62,8.84,0.94,3.64,5.41,3.33,0.73,0.1,1.14,1.25,0.83,0.21,1.04,0.42,0.42,0.73,0.1,3.74,0.1,0,0.21,2.29,2.08,4.47
22Month,0.27,3.01,1.23,6.56,0.14,0,0.14,1.64,2.46,2.19,35.12,2.6,0.96,11.62,0.41,2.32,5.74,3.69,0,0.55,1.23,0,0.41,0.14,0.82,0.41,0.14,0,0,1.64,0.27,0,0,0.41,0,1.37
