stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,T_cell
24hpf,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,8,0,0,0,0,0
72hpf,0.56,0.56,0,0.56,0.28,0,0,0,0,0,0,0.28,0.85,2.54,0,0.28,0,7.61,3.38,1.13,0,0.56,0,0
21Day,0,0,0.74,0,0,0,0,0,0.37,0.37,0,0,1.48,1.11,0,0.37,0,2.59,0.37,0.74,0,0.37,0,0
3Month,0,0,0.31,0,0,0,0.1,0.1,0.62,0.1,0.1,0.31,0.52,0.21,0.21,0,0.1,0,0,0,0.1,0,0.52,0.21
22Month,0,0.41,0.27,0,0,0.14,0,0,1.5,0.14,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0.14
