stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,6,0,0,132,1,0,0,0,0,0,2,0,0,0,0,3,8,8,20,0,11,1074,0,0,4,0,0,0,0,3,0,0
72hpf,1.69,0.28,0,18.32,0.28,2.25,0,0,0,0,0,0,0,0,0,0.56,8.46,0.56,3.1,0.28,45.94,115.56,0.28,0,1.97,0.28,0,24.24,0,0,0,0
21Day,0,0,0,8.51,0.37,1.11,0,0.37,0,0,0,0.37,0,0.37,0,0,2.59,0,1.11,0.37,7.03,28.86,0,0,1.11,1.48,0,4.81,0.37,0.37,0,0
3Month,0,0.42,0.1,12.27,0.1,0,0.21,0,0.1,0,0,0.62,0.31,0.1,0.31,0.62,7.39,0.73,0.42,0.21,1.04,1.04,0.1,0,0,0.21,0.94,0.1,0,0,0.73,0.21
22Month,0,0,0.27,5.06,0,0,0,0,0.27,0.14,0,2.87,0.27,0,0.14,0.14,0.82,0.41,0.41,0,0.27,0.14,0.14,0.14,0,0,0.27,0.14,0,0,0,0
