stage,Epithelial_cell,Immune_progenitor_cell,Neural_cell,Neural_progenitor_cell,Osteoblast
24hpf,0,0,0,1,0
72hpf,0,0,2.82,0,0.56
21Day,0.37,0.37,2.96,0,0
