stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0.56,0,0,0.28,0,1.41,1.41,0,0,0,0.85,0,0,0,0,0.28,0,0,0
21Day,0,0,3.33,1.48,0,0,0,0,0.37,0.37,0,0.74,0,1.11,3.7,0.37,0.37,0.37,1.11,0,0,0.74,0,1.11,1.48,0.37,0,0,1.85,0.37,0.37,0.74,0.37,0,0,0,0
3Month,0.94,4.47,9.78,93.1,0.42,3.64,0.52,0.1,205.33,13.63,0.31,93.51,18.93,3.12,569.39,2.81,16.02,18.83,18.1,5.3,0.42,103.5,4.47,10.4,0.21,25.48,1.14,0,0.62,3.43,20.7,0.83,0,0.62,3.22,6.66,16.02
22Month,0.41,5.88,17.35,31.98,0.27,6.15,0.14,0,56.16,5.6,5.88,241.19,3.14,5.06,163.16,1.64,7.93,14.21,12.98,0.41,4.78,31.29,0,5.33,0.41,7.52,1.5,1.09,0.41,0.55,14.35,0.82,0.68,0.27,0.41,0,7.11
