stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell
72hpf,0.28,0,0,0,0,0,0,0,0,10.43,0,0.28,0,0
21Day,0,0,1.11,0,0.37,0,0,0,0,5.18,0.37,0,0.37,0
3Month,0,0,0.31,0.94,0.31,0.1,0.1,0.21,0.1,0,0,0.1,0,0.1
22Month,0,0.14,0.14,0.14,0.96,0,0.14,0,0,0,0,0,0,0
