stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
72hpf,0,0,0.28,0,0.28,0,0,0,0,0,0,0,0,0,4.79,0.28,0.28,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.22,0,0.37,0,0.37,0.37,0,0
3Month,0,0.1,1.77,0.1,0.1,0,1.04,0.21,0,0.62,0.1,0.42,0,0.42,0.1,0,0.94,0.21,3.64,0,0.83,0.21
22Month,0.41,0.14,1.5,0.41,0.55,0.14,5.19,0,0.41,0.68,0.14,0,0.14,0.41,0.14,0,0.96,0,3.55,0,0,0.41
