stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.28,0,0,0.56,0,0,0,0,0,0,0.28,1.69,0,0,0.28,76.38,3.1,0,1.41,0,0,0,0,0,0,0,0
21Day,0.74,0,0,1.11,2.59,0.37,0,0,0,0,0.37,0,0.74,0.37,0.74,0.37,56.24,1.48,0.74,1.48,1.85,0,0.74,0.37,0.37,0.37,0,0.37
3Month,0,0,0.1,0,0,0,0.1,0.1,0.52,0.1,0.1,0,0,0.31,0,0.31,0.31,0,0,0,0,0.1,0,0,0,0,12.48,0.1
22Month,0,0,0,0,0,0,0,0,2.46,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
