stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Keratinocyte,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Retinal_cell,Retinal_cone_cell
24hpf,0,1,0,0,0,1,0,0,0
72hpf,0.56,0,0.56,0.28,1.41,0.28,1.13,2.25,1.69
21Day,0.37,0.37,0,0,0.37,0,0.37,3.33,1.85
3Month,0,0.31,0,0,0,0,0,0,0
22Month,0,0,0,0,0,0,0,0.41,0
