stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,3,2,0,7,0,0,0,0,0,0,1,0,0,0,0,1,1,21,0,0,0,0,11,56,0,0,0,2,0,0,0,0,0,1,0,0,0
72hpf,4.23,0.28,0,0.85,0.28,1.41,0,0,0,0,0,0,0,0,0,6.2,0.56,19.17,0,0.28,1.13,0,124.29,14.94,0,0,0,11.84,0,0,2.54,0.28,0,0.85,0,0,0
21Day,1.85,0,0,4.81,0.37,0.74,0,0,0,0,0,0,0,0,0,4.44,0.37,27.01,0,0,3.7,0,46.99,8.14,0,0,0,14.43,1.48,0.37,0.37,0.37,1.11,0.37,0,0,0
3Month,0.21,0.73,0,3.64,0,0,0.21,0.1,0.52,0.1,0,14.98,0.42,0.94,0.1,1.87,0.62,2.39,0.42,0.1,0.31,0.21,0.52,0,0.21,0.1,0,0.1,0.1,0.52,0,0,0,0.1,0.42,0.31,0.31
22Month,0.14,0.14,0.27,1.5,0,0,0,0.14,0.41,0.14,0,13.94,0,0.82,0,0,0.27,1.5,0,0.27,0.41,0,0.14,0,0.41,0.14,0.27,0,0,0.14,0,0,0,0,0,0,0.14
