stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,2,1,0,9,1,0,0,0,0,0,0,0,0,0,0,1,5,4,19,0,0,3,175,0,5,0,0,0,0,2,0,0
72hpf,0.85,0.85,0,0.56,0.28,0,0,0,0,0,0,0,0,0,0,0.85,1.69,0,3.66,0,0.28,10.71,27.62,0,1.41,0,0,1.41,0,0,0,0
21Day,1.48,0,0,1.85,5.92,0,1.48,0,0,0,0,0,0,0.74,0,0.37,0.37,0.74,5.18,0,0.37,2.96,10.73,0.74,1.85,0.74,0,1.85,0.37,0,0,1.11
3Month,0,0.1,0,0.94,0,0,0,0.1,0.31,0.1,0,2.29,0.42,0.1,0.42,0,0.42,0.62,0.83,0,0.1,0.21,0,0,0,0.21,3.54,0,0,0,0.83,0.42
22Month,0.14,0.14,0.14,0.41,0,0.41,0,0,0.14,1.09,0.14,7.52,0.68,0.27,1.5,0,0.27,0.68,0.96,0.41,0.27,0,0.14,0,0,0,0.55,0.27,0,0,0,0.14
