stage,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,0
72hpf,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0.28,0,0,0
21Day,0.37,0.74,0,0,0,0,0,0,0,0.37,0,0,0.74,0,0,0,2.22,0,0,0,0
3Month,0.73,0,0.1,0.21,0,1.98,0.21,0.1,0.83,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0.21,0.21
22Month,0,0,0,0,0.41,7.65,0,0,0.14,0,0,0.14,0.14,0,0,0,0,0,0.14,0,0
