stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.56,0.28,0,0.28,0,0,0,0,0,0,0,0,0,0.56,0,0.85,0,0,0,1.41,0.28,0,0,1.13,0.28,0,0.28,0,0,0,0
21Day,0,1.48,2.22,0.37,0,0.37,0,0,0,0,0,0.37,0,0,2.59,0,3.33,0,0,0,0,0,0,0,1.48,0.37,0,0,0,0,0,0
3Month,0,4.78,3.43,0,0,0.1,0.31,0.31,0.1,6.03,0.52,0.31,0.42,0.52,0.94,0.94,6.66,0.94,1.25,0.21,0.31,0.31,0.62,0,0.1,0.1,2.91,0.1,0.21,1.25,0.42,0.31
22Month,0,7.38,1.5,0.14,0,0,0.41,0.27,1.91,6.56,0.27,0.41,0.41,0,0,1.23,9.29,0.27,0.55,0,0.41,0,0.41,0.14,0.82,0,4.24,0.41,0.14,0,0,0
