stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,17,0,0,1,0,0,0,0,0,0,0,0,1,1,2,0,0,0,3,9,0,0,0,0,0,0,0,0,0
72hpf,9.3,0.28,0,0,0.56,0,0,0,0,0,0,0,0.85,0,0.85,0,0,0,63.42,2.82,0.28,0.28,2.25,0,0,0.28,0,0,0
21Day,9.25,0.37,0,1.85,1.48,1.48,0,0,0.74,0.37,0,0,1.11,0.37,0.74,0,0,0.74,25.16,1.11,0,0.37,0.74,0.37,0,0.37,0.74,0,0
3Month,0,0.31,0,0.42,0,0,0,0.1,1.87,0,0.1,0.1,0.21,0.21,0.1,0.1,0,0,0.42,0,0.52,0,0,0.1,1.46,0,0,0.62,0.21
22Month,0,0.27,0.14,0.27,0,0.14,0.14,0.41,5.19,0.27,0.14,0,0,0.41,0.41,0,0.14,0,0.41,0.14,0.96,0,0,0,0.14,0,0,0,0.27
