stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0.28,0,0.28,0.56,0,0,0,0,0,0.56,0,0,0,0
21Day,0.37,0,0,0,0.37,0,0,0,0,0,0,1.11,0,0,0.74,0,0.74,0,0,0.37,0,0,1.11,0,0,0.37,0.37,0,0.37,0,0,0,0.37
3Month,0,0.42,0.1,2.39,0.1,0.21,0.73,0,0,2.29,1.04,0.31,2.29,0.42,0.94,0.52,2.91,0.62,0.1,0.62,0.62,0.21,0,0.1,0.1,0.31,0.31,0.52,0.42,0.1,0.42,0.42,8.43
22Month,0,0,0.14,0.96,0,0,0.27,0.96,0,19.54,0.41,0.55,1.09,0,0,0.82,1.09,0.14,0.82,0.14,0,0,0.14,0.41,0.41,0,0,1.09,0.27,0,0,0,1.78
