stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,0,0,0,2,38,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0.28,0,1.13,0.28,0.28,0,0,0,0,0,0,0,0,0.56,0,0.85,2.54,1.13,5.07,0,0,0,12.4,10.43,0,0.28,3.1,0,0,2.25,0,0,0,0,0
21Day,3.7,0.37,0.74,11.84,0,1.85,0,1.11,0,0,0,0,0.37,0,3.7,0.37,1.11,7.03,2.59,16.65,0,1.11,0,7.77,7.77,0,0.74,6.66,0.37,0,1.11,0,0.37,0,0,1.11
3Month,0.1,0.62,0.31,6.03,0,0,0.1,0,0.1,0.73,1.77,0.1,2.91,1.04,0.21,2.08,0.21,1.25,1.77,1.46,0.42,0.94,0.1,0.1,0.1,0.21,0.21,0,0.42,1.14,0.21,0,0,1.35,0.42,1.98
22Month,0,0.14,0,0.14,0,0,0,0,0,0.14,0.27,0.41,6.15,0.41,0.14,0.68,0.27,0,0.41,0.55,0,0.41,0,0,0,0.27,0,0.27,0.14,0.41,0.14,0.14,0,0.14,0,0.27
