stage,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0.28,0,3.95,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0.74,0,0.37,0,0,0,0
3Month,0.1,0.31,0.21,0,0.83,0.31,0.21,0.21,0,0,0.31,0,6.24,0.1,0.31,0.21,0
22Month,0.14,0,0.27,0.27,2.46,0,0.41,0.14,0.27,0.14,0,0,4.78,0.14,2.19,0,0.14
