stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0.56,0,0,0,1.13,0,0,0,0,0
21Day,0,0,0.37,0,0,0,0,0,0,0,0,0,0.37,0,0.37,0,0
3Month,0.1,0.31,0.83,0.52,0.52,0.21,0,0,0.31,0,1.87,0,0,0,0,0.1,0.21
22Month,0,0.14,0,0.82,0.68,0.82,0.14,0.14,0.55,0.14,0.68,0,0,0.14,0,0,0
