stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,0,0,7,0,0,0,0,0,0,46,0,0,0,0,2,6,0,10,0,0,0,0,0,27,0,0,4,0,0,0,0,0,12,0,0,0
72hpf,0,0,0,1.13,9.58,0.28,0,0,0,0,0,0,0,0,0,0.28,7.61,0,3.38,0,0.28,0,0.28,29.03,2.25,0.85,0.56,2.54,0,0.56,0.28,0,0.28,26.78,0,0,0
21Day,1.85,0.37,0,0.74,7.77,0.37,0,0,0,0,0,0,0,0.74,0,0,2.22,0.37,1.48,0,0,0,0,18.87,0.37,1.11,1.11,2.22,0.37,0,1.11,0,3.7,4.07,0.37,0,0.74
3Month,0.42,0.21,0,1.87,2.91,0,0.21,0.1,0,0,0,2.18,0.1,0,0.42,0.73,0.73,0.1,2.81,0.1,0,0.1,0.1,0.21,0,5.3,0.94,0,0,6.87,0.1,0.1,0,0.31,0.1,3.22,0
22Month,0,0,0.27,0.41,1.64,0,0,0.55,0.14,1.37,0,2.87,0,0,1.91,0.14,0.41,0.14,0.68,0,0.14,0.14,0,0.82,0,2.05,1.37,0,0,9.02,0,0,0,0.27,0,0,0
