stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Osteoblast,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0.28,0,0,0,0,0,0,0,0,0.56,0,1.13,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0.37,0,0,0
3Month,0.1,0.1,0.1,0,0.21,0.1,0,0.1,0,0,0,0,0,0,0.21,0,0.1,0.31,0
22Month,0.14,0.27,0,0.41,3.42,0.14,0.14,0,0.27,0.68,0.41,0.14,0,0,0,0,0,0,0.14
