stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
72hpf,7.05,0,0,0,2.25,0.28,0,0,0,0,0,0,0.28,0.28,0,0.28,0.28,0,0,2.54,1.69,0,0,0.28,0,0,0,0,0,0
21Day,8.51,0,0,1.11,5.92,0.37,0,0,1.11,0,0,0.37,0,1.11,0.37,1.11,0,0.37,0,1.85,0.74,0,0,0,0,0,1.11,0.74,0,0
3Month,0.94,0,0.1,1.14,2.91,0,1.04,0.21,7.7,0.62,0.1,0.94,0.42,0.62,0.31,0.42,0,0.42,0.31,0.31,0,0.21,0,0.1,17.89,0.1,0,0,3.85,0.83
22Month,0.55,0.14,0,0.41,0.41,0,0.27,0.14,6.42,0,0,0.82,0,0.14,0.41,0.68,0,0.14,0,0,0,0.27,0.27,0,3.83,0,0.14,0,0,0
