stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
72hpf,0.28,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,11.27,0.56,0,0,0,0,0.56,0.28
21Day,0,0,0.37,0,0,0,0,0,0,0.37,0,0,0,0,0,5.18,0.74,0,0.37,0.37,0.37,0,0
3Month,0,0.1,0.31,0,0,0.1,0.1,1.14,0.52,0,0.1,0.21,0.21,0.1,0,0,0,0.1,0,0,0.52,0,0
22Month,0,0,0,0,0.27,0.27,0,4.24,0.14,0,0.41,0.14,0.14,0.27,0.14,0,0,0,0,0.14,0,0,0
