stage,Epithelial_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell
24hpf,3,0,0,0,0,82,1,0,2,3,0,0
72hpf,0,0,0,0,0.28,0.28,0.28,0,0,0,0.28,0
3Month,0.1,0,0.1,0.21,0,0.1,0,0,0,0,0,0.1
22Month,0,0.55,0,0.14,0,0,0.14,0.14,0,0,0,0.27
