stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0.56,0.28,0,0,0,0
21Day,0,0.74,0,0.37,0,0,0,0,5.18,0,0,0,0,0.37,0,0,0.37,0,0
3Month,0.1,1.46,0.21,0.1,0.31,0.1,0.83,0.1,0.1,0.21,0.52,0.31,0.1,0,0,0.1,0,0.1,0.21
22Month,0,0,0,0,0.14,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0
