stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,7,0,0,0,2,33,0,0,1,0,0,0,0,0,0
72hpf,0.28,0,0,0,0.28,0,0,0,0,0,0,0,0.28,0.56,0.28,2.25,0,0,0,10.15,4.51,0,0,0.56,0,1.13,0,0,0,0
21Day,0.74,0,0,1.85,3.33,0,0.74,0,0.37,0,0.74,0,0,0,0,2.59,0,0,0,7.03,4.44,0,0,0.74,0.37,1.11,0.37,0,0,0
3Month,0,0,0.21,1.35,0,0.21,0.1,0,1.46,0.31,0,0.31,0.1,0.21,0.52,0.73,0,0.1,0.21,0.1,0,0.21,0.1,0,6.66,0,0,0.52,1.35,0.21
22Month,0,0.14,0,0.41,0,0,0.14,0.27,3.14,0.14,0,0.55,0,0.27,0,0.27,0.27,0,0,0,0,0,0.27,0,2.05,0,0,0,0,0
