stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,2.22,0,0.37,0,0,0,0,0,0.74,0,0.37,1.11,0,0.37,0,0,0,0,0.37,0,0.37,0,0,0,0.37
3Month,0.1,0.1,4.06,0.1,0.21,0.62,1.25,0,2.91,1.14,0.21,1.98,0.21,1.25,1.35,0.73,0.1,0,0.31,0.1,0,0.21,0.1,0.42,0.52,1.66,0.73
22Month,0.55,0.55,0.82,0.14,0,0.27,1.91,0.41,11.21,0.96,0.96,2.32,0.27,0.82,2.32,1.78,0,0.41,0.27,0,0,0.14,0,0.27,0.14,0,0.55
