stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,2,0,0,0,0,0,0,0,0,1,1,2,7,0,0,0,4,12,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.56,0,0,0,0,0,0,0,0,0.28,0.85,0,0.56,0.28,0,0,2.25,3.38,0.56,0,0,0.28,0,0.28,0,0
21Day,0,0,0,4.44,0.37,0.37,0,0,0,0,0.37,0,0.37,1.85,1.11,2.96,0,0.74,0.37,1.11,3.7,1.85,0,0,0,0.37,0,0.37,0
3Month,0.1,0.1,0,0.62,0,0,0.1,0.21,1.25,0.1,0,0.52,0.1,0.1,0.52,0.21,0,0.1,0.1,0,0,0,0.1,0.62,0,0,0,0,0.1
22Month,0,0.14,0.14,0.55,0,0,0,0.14,2.73,0.14,0,0.41,0,0,0.27,0.14,0,0,0,0,0,0,0,0,0,0,0,0.14,0
