stage,Cardiomyocyte,Epithelial_cell,Hatching_gland,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Radial_glia,T_cell
24hpf,0,1,1,0,0,1,0,0,0,0,2,0,0,0
72hpf,0.56,0,0,0,0,0.28,0.56,0,0,18.6,1.69,0,0.28,0
21Day,0.37,0.37,0,0,0,0,1.48,0.37,0,5.55,0.74,0.37,0.37,0
3Month,0,0,0,0.1,0.1,0,0.42,0,0.1,0,0,0,0,0.1
22Month,0,0,0,3.96,0,0,0,0,0,0,0,0,0,0
