stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0.85,0,0,0.28,0,0,0,0,0
21Day,0,0,0,1.48,0.37,0.37,0,0,0,0,0,0,0,0,0,0,0,0,1.48,0,0,0,0,0,0.37,0,0,0.74,0.37,0,0,0,0
3Month,0,1.66,0.1,5.82,0,0,0,0,0,0.31,0,3.22,0.42,0,0.52,0.21,1.25,1.46,3.43,0.73,0.1,1.04,0.21,0,0,0,0,0,0.21,0.1,0,0,0
22Month,0.27,7.11,0.27,7.93,0.14,0,0.55,0.14,0.68,1.5,0.55,105.77,1.09,0.14,1.23,0,0.82,2.46,4.37,0,5.6,0.14,0,0.14,0,0.14,0.14,0,0.14,0,0.14,0.14,0.41
