stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0.74,0,0,0.37,0,0,0.37,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0.37
3Month,0.1,0.62,0.42,6.14,0.1,0.52,0.1,0,10.4,0.83,0,37.13,1.87,0.1,3.74,0.73,1.04,0.62,8.11,0.21,0,0.73,0.73,0.31,0,1.77,0.21,0,0.21,1.35,7.7,0,0,26.63,27.56,0.94
22Month,0.27,6.29,3.96,13.53,0,0.68,0.14,0.55,13.66,2.05,2.05,738.73,2.87,1.09,10.52,0.55,1.64,2.32,10.25,0,9.43,3.83,0.27,0.14,0.14,4.92,2.46,2.46,0,0.96,13.12,0.41,0.14,2.19,0.82,1.37
