stage,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Neural_cell,Primordial_germ_cell,Retinal_cone_cell
72hpf,0,0,0,0,0.28,0,0
21Day,1.85,0,0,0,0,0,0.37
3Month,0.21,0,0.1,0.21,0,0.1,0
22Month,0.14,0.14,0.14,1.09,0,0,0
