stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,1,6,0,0,0,0,0,0,0,1,0,0,0,0,1,2,2,12,0,0,0,4,30,0,0,0,2,0,0,0,0,0,0,0,0,0
72hpf,1.13,1.41,3.38,0.85,0.56,0,0,0,0,0,0,0,0,0,0,0.28,17.19,1.69,10.71,0,0.28,0,4.23,4.23,0.28,0,0,9.58,0,0,2.82,0,0.85,1.69,0,0,0
21Day,1.85,0.37,9.99,1.85,1.11,0,1.85,0,0,0,0,0.37,0,0.37,0,1.48,4.07,5.55,9.62,0,1.11,0,1.11,1.85,0,0,0,4.07,0,0.37,0,0,1.48,0.37,0,0,0
3Month,0.21,3.64,12.38,1.14,0,0,0.1,0.52,9.88,0.1,0,1.98,0.83,0.21,0.31,2.29,4.06,9.78,5.3,2.08,0.31,1.66,0.31,0,0.62,0.31,0,0.42,0.21,5.51,0,0.1,0,0.1,1.56,2.5,0.31
22Month,0,3.96,4.1,0.14,0,0.55,0.14,0.41,31.57,5.88,0,5.74,0.68,0.55,0.82,0.27,0.96,20.5,4.24,0.14,0.14,0,0.14,0.14,0.41,0,0.14,0.27,0,1.37,0,0.27,0,0.14,0.27,0,0
