stage,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,T_cell
24hpf,1,0,0,0,0,0,0,0,1,2,0,0,2,10,0,0
72hpf,1.13,0.28,0,0,0,0,0,0.85,0.56,0,0.28,0,0.28,0.56,0.28,0
21Day,5.18,0,0,0,0,1.11,0,0,0.74,1.11,1.85,0,0,0.37,0.37,1.11
3Month,0.42,0,0.42,0.1,0,0,0.21,0,0.1,0.21,0,0.1,0,0,0,0.31
22Month,0.27,0,0,0,1.09,0,0,0,0,0.14,0,0,0,0,0,0.27
