stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0.28,0,0,0,0,0,0,0,2.25,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,3.33,0,0,0,0,0,0.74,0,1.48,0,0,0,0,0,0,0,0,0,0,0
3Month,0,0.31,0.1,5.41,0.1,0.62,2.39,0.21,0.1,1.66,0.1,5.51,0.52,0.62,0.1,0.21,0,0,0.1,0.42,0.1,0.21,0.21
22Month,0.27,0.14,0.14,0.68,0,0.55,4.24,0.27,0,1.37,0,0.27,0.14,0.14,0,0,0.14,0.14,0,0.14,0,0,0.27
