stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.13,0,1.97,1.13,1.69,0,0.28,0,0,0.28,0,0.28,2.54,0.28,2.82,0,0,0.56,0,98.08,9.02,0,0,1.97,0,0,4.79,0,0,0.28,0,0,0
21Day,0.74,0,1.48,0,1.85,0,0,0,0,0.37,0.37,0,1.11,0.37,2.22,0,0,0.74,0,54.02,5.18,0,0.37,1.11,3.7,0.37,7.03,0.37,1.48,0.74,0,0,0.37
3Month,0,0.52,0.83,0.21,0,0.1,0,2.7,0,0,0.62,0.1,0.1,0.21,4.58,1.04,0,0.1,0.1,0.52,0.31,0.83,0.1,0,0.1,4.06,2.5,0,0,0.31,0.1,2.91,0.52
22Month,0,0.27,0.82,0.27,0,0,0.55,4.24,0.41,0,0.41,0,0,0.68,3.55,0.41,0.14,0.14,0,1.09,0.14,1.91,0,0.14,0,3.96,4.92,0.14,0,0.14,0,0,0.41
