stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0.56,0,0,0,1.41,0.56,0,0,0.28,0,0,0,0,0,0,0
21Day,0,0,0,0.74,2.59,0,0,0,0.74,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0,0,0,1.25,0,0.1,0.1,2.08,2.29,4.47,0,0.42,0.42,0.83,0.94,0.1,0,0.1,0,0,0,0,0.31,0,0.31,0,0.1,0.1,0.21,1.25
22Month,0.14,0.41,0.14,0.96,0,0,0.14,4.65,6.42,3.96,0.14,0.41,0.27,1.78,0.96,0.27,0.82,0,0,0,0.27,0.27,0.14,0.27,0,0.82,0,0,0,0.27
