stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,1,2,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,7,65,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,3.95,0.28,4.79,0,0,0,0,0,0,0,0.28,0,0,1.97,0,8.17,0,0.85,0,16.63,9.3,0,0,14.37,0,0,3.66,0,0.28,0,0
21Day,0,0,0,7.77,0,0.37,0,0,0,0,0,0,0,0,0.74,0,2.96,4.44,17.39,0,2.96,0,7.03,3.7,0.37,0,6.66,1.48,0,2.96,0.74,0.37,0,0.37
3Month,0.1,0,0,0.73,0,0,0.1,0.1,0,0,0,0.73,0.42,0,0.1,0.1,0.94,0.42,2.08,0.1,0.1,0.1,0.31,0,0.1,0,0.42,0.1,0.1,0,0,0.21,0.42,0.31
22Month,0,0.14,0.14,0.55,0,0,0.14,0,0.41,1.64,0,4.37,0,0,0,0,0.14,1.23,2.05,0,0.27,0,0.14,0,0,0.14,0.14,0,0.27,0,0,0,0,0.14
