stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,7,0,0,0,0,0,0,0,0,0,0,11,15,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,4.79,0.28,0,0.28,0,0,0,0,0,0,0,6.76,37.49,0,0.28,0,0.56,0,0,1.41,1.13,0,0,0,0,0.28,0,0,0,0,0
21Day,0,0,0,30.34,0.37,0,0.37,0,0,0,1.48,0,0,0,9.25,15.91,0.37,0.37,0,0,0.37,0,0.74,1.11,0,0.37,0,0.37,0,0.37,0.37,0,0,0
3Month,0,0.31,0.31,27.36,0,0.21,0,0.1,0.42,0,16.54,0.62,0,0.94,2.39,1.14,0.52,1.04,0.1,0,0.21,0.52,0.21,0,0.21,0.1,0,0,0.52,0.31,0,0.1,0.1,0.21
22Month,0.14,0.55,0.27,6.29,0,0.14,0,0.41,0.68,4.37,60.81,0.27,0.14,3.14,1.37,0.41,0.82,1.5,0,0.82,0.14,0,0.14,0,0.14,0.14,0.14,0,0.14,0.27,0.14,0,0,0.27
